X,Y,se_sdo_rowid,se_anno_cad_data,bezirk,adresse,anzahl,art_kat
16.37334289587189,48.186929105278992,288884,,4,Südtiroler Platz ggü. 5,8,0
16.368250284821769,48.19078310069343,288885,,4,Waltergasse 7,4,0
16.36902644952119,48.198041093564207,288886,,4,Paniglgasse 16,6,0
16.36819433583311,48.190829674169301,288887,,4,Waltergasse 16,4,0
16.351562381404712,48.227463305522654,288888,,9,Schubertgasse 23,10,0
16.330274300732224,48.198908304361396,288889,,15,Reithoferplatz 14,8,0
16.344251488164897,48.186633102874225,288890,,5,Emil-Kralik-Gasse 6,10,0
16.34868894743289,48.189144027359887,288891,,5,"Rechte Wienzeile ggü. 151, Nevillebrücke",6,0
16.343250247963837,48.206634791505401,288892,,7,"Schottenfeldgasse 90, Bernardgasse",4,0
16.358025824086557,48.204698285768906,288893,,7,"Museumsplatz, Ausgang U-Bahnstation Burggasse",16,0
16.354054355565214,48.219796585313951,288894,,9,Sensengasse 2A,20,0
16.336885268531919,48.223741526599277,288895,,18,Johann-Nepomuk-Vogl-Platz ggü. 9,6,0
16.292932059660501,48.195747429981111,288896,,14,Felbiger Straße 40,6,0
16.361828334051502,48.195900870750677,288897,,4,Heumühlgasse 9,6,0
16.369005849580692,48.20226954440755,288898,,1,Opernring 1,4,0
16.366591946164213,48.224765750279388,288899,,9,Schulz-Straßnitzki-Gasse 15,2,0
16.366090063634871,48.224661507986681,288900,,9,Schulz-Straßnitzki-Gasse 11,4,0
16.365769060006848,48.224590824297998,288901,,9,Schulz-Straßnitzki-Gasse 9,4,0
16.355458920537902,48.209332914845355,288902,,1,Stadiongasse 10,8,0
16.466732994985712,48.193463870018725,288903,,22,"Raffineriestraße, Biberhaufenweg",8,0
16.351308485679951,48.226476386515948,288904,,9,Löblichgasse 16,12,0
16.359648934401754,48.213905024104584,288905,,9,Universitätsstraße 1,6,0
16.384240554985382,48.241063035708891,288906,,20,"Maria-Restituta-Platz, neben Engerthstraße 61-63",16,0
16.371857843239976,48.227950980103365,288907,,20,Staudingergasse 16,12,0
16.369684311229406,48.202735617647811,288908,,1,"Herbert-von-Karajan-Platz - Opernring, Kärntner Straße",16,0
16.435737825500539,48.228401174033429,288909,,22,An der Unteren Alten Donau 83,8,0
16.482854842240865,48.242140035377354,288910,,22,Berresgasse 2,8,0
16.395845420088577,48.177089485044178,288911,,3,Gänsbachergasse 7-9,8,0
16.480365132008679,48.251510509915448,288912,,22,"Breitenleer Straße, Arnikaweg",8,0
16.483428613288915,48.251510563299689,288913,,22,"Breitenleer Straße, Spargelfeldstraße",6,0
16.532346054569398,48.249099458278444,288914,,22,"Breitenleer Straße 436, Telefonweg",8,0
16.448611107543549,48.253211097183836,288915,,22,Goldemundweg 11,12,0
16.456398625131122,48.224793794248974,288916,,22,Hans-Steger-Gasse 21,8,0
16.485831400610095,48.237095996498311,288917,,22,Hasibederstraße 2,8,0
16.469360056631984,48.233011544505516,288918,,22,"Guido-Lammer-Gasse, Kartouschgasse",8,0
16.464366211571445,48.235210445617916,288919,,22,Hirschstettner Straße 88,4,0
16.359184545031912,48.208168085892453,288920,,1,"Universitätsring, Parlament Tor 1",20,0
16.51702322749161,48.204604822885841,288921,,22,Kaposigasse 107,8,0
16.459426127231282,48.258302923149785,288922,,22,Lieblgasse 8,16,0
16.444015977148418,48.242700977018607,288923,,22,Natorpgasse 1,16,0
16.484553520531499,48.238964385638603,288924,,22,Quadenstraße 69,12,0
16.356718442075508,48.211949061230875,288925,,1,Rathausstraße 14-16,20,0
16.358727441181884,48.207333097450388,288926,,1,"Schmerlingplatz 6, Parlament",16,0
16.371217227085189,48.216541966678115,288927,,1,Franz-Josefs-Kai ggü. 55,8,0
16.367394918608216,48.199254299893056,288928,,4,Resselgasse 7,10,0
16.359083643764038,48.207822399418809,288929,,1,"Universitätsring, Parlament Tor 2",20,0
16.357085739897816,48.207497984694982,288930,,1,Schmerlingplatz 5,6,0
16.366391681075768,48.211352439800514,288931,,1,Tiefer Graben 1-5,4,0
16.358150163651342,48.209739783901519,288932,,1,"Rathausplatz ggü. 9, Eingang Rathauspark",8,0
16.369035345038114,48.216800186541285,288933,,1,Schottenring 28,4,0
16.370205975614788,48.213702373525742,288934,,1,Concordiaplatz 3,5,0
16.356774303233138,48.214336485814528,288935,,9,"Unversitätsstraße 11, Unversitätsstraße 9",6,0
16.398932408572108,48.256587145872388,288936,,21,Franz-Jonas-Platz ggü. 3-4,18,0
16.396941188549512,48.218043412266439,288937,,2,"Ausstellungsstraße, Ecke Venediger Au",12,0
16.395002823683992,48.218067876655688,288938,,2,Ausstellungsstraße ggü 4,20,0
16.397684449368359,48.225290978590557,288939,,2,Jakov-Lind-Straße ggü. 26,10,0
16.39559296848925,48.225114771755564,288940,,2,Ernst-Melchior-Gasse 9,10,0
16.371975746849159,48.200229233520773,288941,,1,"Karlsplatz, Musikvereinsplatz",8,0
16.35989069396414,48.218306669674895,288942,,9,Wasagasse 21,6,0
16.365534472911783,48.218985369773542,288943,,9,Berggasse 30,4,0
16.372213369448367,48.200173967818401,288944,,1,"Karlsplatz, Musikvereinsplatz",10,0
16.350547508186796,48.234875854542707,288945,,19,Schegargasse 12,12,0
16.317943006150372,48.222027960056806,288946,,17,Lienfeldergasse 96,8,0
16.343489917326622,48.224009671613302,288947,,18,Schopenhauerstraße 32,8,0
16.33913307619336,48.224503478085062,288948,,18,Schopenhauerstraße 49,8,0
16.361424248514506,48.227659311408452,288949,,9,Nordbergstraße ggü. 12,8,0
16.367069521510075,48.228206508918852,288950,,20,Treustraße 17,6,0
16.39566572492846,48.225055226375211,288951,,2,Ernst-Melchior-Gasse 9,8,0
16.374134121413494,48.221609637376098,288952,,2,Leopoldsgasse 2,8,0
16.367738057936698,48.202927014927859,288953,,1,Opernring ggü. 4,8,0
16.353182716017354,48.193120465139337,288954,,6,Hofmühlgasse 5,8,0
16.358681231807889,48.212323634924829,288955,,1,Rathausplatz 4,8,0
16.360640069891314,48.212310093652746,288956,,1,"Rathausplatz 5, Universität",8,0
16.35575254773098,48.208892487080533,288957,,1,"Rathausstraße 1, rechts vom Eingang",8,0
16.355706200377551,48.208726031323714,288958,,1,"Rathausstraße 1, links vom Eingang",8,0
